kaynak,g_sn,g_kare,kmin_kare,bitrate_k,boyut_bayt,ikare,gerc_aralik_sn,kare,mean,p10,worst
s1-kesikli,2,60,30,4250,10651046,12,1.791,600,88.460,83.912,72.916
s1-kesikli,5,150,30,4250,10662068,8,2.705,600,88.977,84.585,74.747
s1-kesikli,10,300,30,4250,10661163,7,3.156,600,89.044,84.597,75.244
s1-kesikli,15,450,30,4250,10648699,7,3.156,600,89.081,84.673,75.824
s1-kesikli,20,600,30,4250,10656088,6,3.787,600,89.088,84.691,75.067
s2-durgun,2,60,30,80,207305,10,2.000,600,53.179,51.521,48.373
s2-durgun,5,150,30,80,218938,4,5.000,600,79.793,76.123,76.033
s2-durgun,10,300,30,80,211652,2,10.000,600,86.836,82.238,82.142
s2-durgun,15,450,30,80,221457,2,15.000,600,84.912,80.663,80.549
s2-durgun,20,600,30,80,197881,1,0.000,600,87.136,84.049,83.947
s3-hareketli,2,60,30,2850,7158975,11,1.987,600,88.842,85.545,83.491
s3-hareketli,5,150,30,2850,7163406,5,4.717,600,89.582,86.236,84.162
s3-hareketli,10,300,30,2850,7151533,3,6.933,600,89.775,86.384,84.256
s3-hareketli,15,450,30,2850,7152134,2,13.867,600,89.841,86.514,84.667
s3-hareketli,20,600,30,2850,7147932,1,0.000,600,89.867,86.519,84.824
s4-yuksek,2,120,60,13740,33942988,12,1.750,1200,89.176,84.702,75.040
s4-yuksek,5,300,60,13740,33885033,8,2.429,1200,89.409,85.044,75.329
s4-yuksek,10,600,60,13740,33888325,6,3.400,1200,89.468,85.183,75.514
s4-yuksek,15,900,60,13740,33882536,6,3.400,1200,89.466,85.179,75.621
s4-yuksek,20,1200,60,13740,33882693,5,4.250,1200,89.467,85.154,75.549
